attack_type,total,detected,missed,recall
back,359,90,269,0.25069637883008355
buffer_overflow,20,20,0,1.0
ftp_write,3,1,2,0.3333333333333333
guess_passwd,1231,199,1032,0.16165718927701056
imap,1,1,0,1.0
ipsweep,141,141,0,1.0
land,7,7,0,1.0
loadmodule,2,2,0,1.0
multihop,18,17,1,0.9444444444444444
neptune,4657,4657,0,1.0
nmap,73,73,0,1.0
perl,2,2,0,1.0
phf,2,1,1,0.5
pod,41,41,0,1.0
portsweep,157,157,0,1.0
rootkit,13,5,8,0.38461538461538464
satan,735,735,0,1.0
smurf,665,665,0,1.0
teardrop,12,12,0,1.0
warezmaster,944,835,109,0.8845338983050848
