attack_type,total,detected,missed,recall
apache2,737,735,2,0.9972862957937585
httptunnel,133,130,3,0.9774436090225563
mailbomb,293,66,227,0.22525597269624573
mscan,996,994,2,0.9979919678714859
named,17,15,2,0.8823529411764706
processtable,685,685,0,1.0
ps,15,9,6,0.6
saint,319,319,0,1.0
sendmail,14,8,6,0.5714285714285714
snmpgetattack,178,178,0,1.0
snmpguess,331,331,0,1.0
sqlattack,2,2,0,1.0
udpstorm,2,2,0,1.0
worm,2,0,2,0.0
xlock,9,7,2,0.7777777777777778
xsnoop,4,3,1,0.75
xterm,13,12,1,0.9230769230769231
