label,train_count,test_count,seen_in_training,test_only,train_percentage,test_percentage
neptune,41214,4657,True,False,70.29507078287565,36.28925426634458
guess_passwd,53,1231,True,False,0.0903974074705782,9.592456946933686
mscan,0,996,False,True,0.0,7.761240551702642
warezmaster,20,944,True,False,0.034112229234180454,7.35603522169407
apache2,0,737,False,True,0.0,5.743006311852255
satan,3633,735,True,False,6.196486440388879,5.727421491467311
processtable,0,685,False,True,0.0,5.337800981843684
smurf,2646,665,True,False,4.5130479276820745,5.181952777994233
back,956,359,True,False,1.6305645573938259,2.797475259097639
snmpguess,0,331,False,True,0.0,2.579287773708408
saint,0,319,False,True,0.0,2.4857788513987376
mailbomb,0,293,False,True,0.0,2.283176186394452
snmpgetattack,0,178,False,True,0.0,1.3870490142601106
portsweep,2931,157,True,False,4.9991471942691454,1.2234084002181875
ipsweep,3599,141,True,False,6.138495650690773,1.098729837138627
httptunnel,0,133,False,True,0.0,1.0363905555988466
nmap,1493,73,True,False,2.5464779123315706,0.5688459440504948
pod,201,41,True,False,0.3428279038035136,0.3194888178913738
buffer_overflow,30,20,True,False,0.051168343851270684,0.15584820384945064
multihop,7,18,True,False,0.011939280231963159,0.14026338346450556
named,0,17,False,True,0.0,0.13247097327203305
ps,0,15,False,True,0.0,0.11688615288708798
sendmail,0,14,False,True,0.0,0.10909374269461544
xterm,0,13,False,True,0.0,0.10130133250214292
rootkit,10,13,True,False,0.017056114617090227,0.10130133250214292
teardrop,892,12,True,False,1.5214054238444483,0.09350892230967038
xlock,0,9,False,True,0.0,0.07013169173225278
land,18,7,True,False,0.03070100631076241,0.05454687134730772
xsnoop,0,4,False,True,0.0,0.031169640769890126
ftp_write,8,3,True,False,0.013644891693672181,0.023377230577417595
loadmodule,9,2,True,False,0.015350503155381204,0.015584820384945063
phf,4,2,True,False,0.006822445846836091,0.015584820384945063
worm,0,2,False,True,0.0,0.015584820384945063
sqlattack,0,2,False,True,0.0,0.015584820384945063
perl,3,2,True,False,0.005116834385127068,0.015584820384945063
udpstorm,0,2,False,True,0.0,0.015584820384945063
imap,11,1,True,False,0.01876172607879925,0.0077924101924725315
spy,2,0,True,False,0.0034112229234180454,0.0
warezclient,890,0,True,False,1.5179942009210303,0.0
