attack_type,total,rf_detected,rf_recall,if_detected,if_recall,hybrid_detected,hybrid_missed,hybrid_recall,suspicious
imap,1,0,0.0,0,0.0,0,1,0.0,0
guess_passwd,1231,0,0.0,0,0.0,0,1231,0.0,0
mailbomb,293,0,0.0,0,0.0,0,293,0.0,0
loadmodule,2,0,0.0,0,0.0,0,2,0.0,0
sendmail,14,0,0.0,0,0.0,0,14,0.0,0
snmpgetattack,178,0,0.0,0,0.0,0,178,0.0,0
snmpguess,331,0,0.0,0,0.0,0,331,0.0,0
rootkit,13,0,0.0,0,0.0,0,13,0.0,0
xlock,9,0,0.0,0,0.0,0,9,0.0,0
worm,2,0,0.0,0,0.0,0,2,0.0,0
processtable,685,27,0.03941605839416058,1,0.00145985401459854,28,657,0.040875912408759124,1
multihop,18,2,0.1111111111111111,0,0.0,2,16,0.1111111111111111,0
named,17,2,0.11764705882352941,0,0.0,2,15,0.11764705882352941,0
ps,15,2,0.13333333333333333,0,0.0,2,13,0.13333333333333333,0
httptunnel,133,19,0.14285714285714285,0,0.0,19,114,0.14285714285714285,0
buffer_overflow,20,3,0.15,0,0.0,3,17,0.15,0
xsnoop,4,1,0.25,0,0.0,1,3,0.25,0
warezmaster,944,238,0.2521186440677966,1,0.001059322033898305,239,705,0.2531779661016949,1
xterm,13,4,0.3076923076923077,0,0.0,4,9,0.3076923076923077,0
ftp_write,3,1,0.3333333333333333,0,0.0,1,2,0.3333333333333333,0
sqlattack,2,1,0.5,0,0.0,1,1,0.5,0
perl,2,1,0.5,0,0.0,1,1,0.5,0
phf,2,1,0.5,0,0.0,1,1,0.5,0
mscan,996,648,0.6506024096385542,114,0.1144578313253012,651,345,0.6536144578313253,3
apache2,737,558,0.757123473541384,0,0.0,558,179,0.757123473541384,0
pod,41,39,0.9512195121951219,0,0.0,39,2,0.9512195121951219,0
back,359,354,0.9860724233983287,0,0.0,354,5,0.9860724233983287,0
saint,319,315,0.987460815047022,191,0.5987460815047022,315,4,0.987460815047022,0
neptune,4657,4656,0.999785269486794,978,0.2100064419153962,4656,1,0.999785269486794,0
nmap,73,73,1.0,1,0.0136986301369863,73,0,1.0,0
ipsweep,141,141,1.0,0,0.0,141,0,1.0,0
land,7,7,1.0,3,0.42857142857142855,7,0,1.0,0
udpstorm,2,2,1.0,0,0.0,2,0,1.0,0
teardrop,12,12,1.0,0,0.0,12,0,1.0,0
satan,735,735,1.0,422,0.5741496598639456,735,0,1.0,0
smurf,665,665,1.0,0,0.0,665,0,1.0,0
portsweep,157,157,1.0,36,0.22929936305732485,157,0,1.0,0
