attack_type,group,total,rf_detected,rf_recall,if_detected,if_recall,hybrid_detected,hybrid_recall,suspicious
apache2,test_only,737,524,0.7109905020352781,0,0.0,524,0.7109905020352781,0
back,shared,359,359,1.0,0,0.0,359,1.0,0
buffer_overflow,shared,20,3,0.15,0,0.0,3,0.15,0
ftp_write,shared,3,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0
guess_passwd,shared,1231,0,0.0,0,0.0,0,0.0,0
httptunnel,test_only,133,17,0.12781954887218044,0,0.0,17,0.12781954887218044,0
imap,shared,1,0,0.0,0,0.0,0,0.0,0
ipsweep,shared,141,141,1.0,0,0.0,141,1.0,0
land,shared,7,7,1.0,3,0.42857142857142855,7,1.0,0
loadmodule,shared,2,0,0.0,0,0.0,0,0.0,0
mailbomb,test_only,293,0,0.0,0,0.0,0,0.0,0
mscan,test_only,996,619,0.6214859437751004,114,0.1144578313253012,624,0.6265060240963856,5
multihop,shared,18,2,0.1111111111111111,0,0.0,2,0.1111111111111111,0
named,test_only,17,3,0.17647058823529413,0,0.0,3,0.17647058823529413,0
neptune,shared,4657,4656,0.999785269486794,978,0.2100064419153962,4656,0.999785269486794,0
nmap,shared,73,73,1.0,1,0.0136986301369863,73,1.0,0
perl,shared,2,1,0.5,0,0.0,1,0.5,0
phf,shared,2,1,0.5,0,0.0,1,0.5,0
pod,shared,41,39,0.9512195121951219,0,0.0,39,0.9512195121951219,0
portsweep,shared,157,157,1.0,36,0.22929936305732485,157,1.0,0
processtable,test_only,685,28,0.040875912408759124,1,0.00145985401459854,29,0.042335766423357665,1
ps,test_only,15,2,0.13333333333333333,0,0.0,2,0.13333333333333333,0
rootkit,shared,13,0,0.0,0,0.0,0,0.0,0
saint,test_only,319,315,0.987460815047022,191,0.5987460815047022,315,0.987460815047022,0
satan,shared,735,735,1.0,422,0.5741496598639456,735,1.0,0
sendmail,test_only,14,0,0.0,0,0.0,0,0.0,0
smurf,shared,665,665,1.0,0,0.0,665,1.0,0
snmpgetattack,test_only,178,0,0.0,0,0.0,0,0.0,0
snmpguess,test_only,331,0,0.0,0,0.0,0,0.0,0
sqlattack,test_only,2,1,0.5,0,0.0,1,0.5,0
teardrop,shared,12,12,1.0,0,0.0,12,1.0,0
udpstorm,test_only,2,2,1.0,0,0.0,2,1.0,0
warezmaster,shared,944,265,0.2807203389830508,1,0.001059322033898305,266,0.2817796610169492,1
worm,test_only,2,0,0.0,0,0.0,0,0.0,0
xlock,test_only,9,0,0.0,0,0.0,0,0.0,0
xsnoop,test_only,4,1,0.25,0,0.0,1,0.25,0
xterm,test_only,13,3,0.23076923076923078,0,0.0,3,0.23076923076923078,0
