label,target,rf_probability,rf_prediction,if_score,if_prediction,hybrid_prediction,hybrid_decision
neptune,1,1.0,1,-0.08264200163642565,0,1,ATTACK
neptune,1,1.0,1,-0.07511594557559742,0,1,ATTACK
normal,0,0.005,0,0.11681845601548313,0,0,NORMAL
saint,1,0.97,1,-0.016738014981817484,0,1,ATTACK
mscan,1,0.315,0,-0.048177042784597224,0,0,NORMAL
normal,0,0.0,0,0.1710059051972691,0,0,NORMAL
normal,0,0.025,0,0.044838842815605184,0,0,NORMAL
guess_passwd,1,0.145,0,0.10769462486379694,0,0,NORMAL
normal,0,0.0,0,0.16564175865230646,0,0,NORMAL
guess_passwd,1,0.08,0,0.07568874679652998,0,0,NORMAL
mscan,1,0.2,0,0.07852699930864104,0,0,NORMAL
normal,0,0.05,0,0.10304202554618058,0,0,NORMAL
neptune,1,1.0,1,-0.0761251732969177,0,1,ATTACK
neptune,1,0.75,1,-0.08371095629931513,0,1,ATTACK
normal,0,0.0,0,0.02559587236303773,0,0,NORMAL
normal,0,0.0,0,0.1789679613125642,0,0,NORMAL
normal,0,0.0,0,0.17835316116388278,0,0,NORMAL
normal,0,0.0,0,0.17600333491080122,0,0,NORMAL
normal,0,0.195,0,0.013262470033387874,0,0,NORMAL
neptune,1,1.0,1,-0.07968459492668911,0,1,ATTACK
neptune,1,1.0,1,-0.053695438096401205,0,1,ATTACK
mscan,1,0.94,1,-0.060893239490921625,0,1,ATTACK
normal,0,0.0,0,0.1799973409377908,0,0,NORMAL
normal,0,0.0,0,0.17507272582538652,0,0,NORMAL
neptune,1,1.0,1,-0.055746325938417995,0,1,ATTACK
neptune,1,1.0,1,-0.061951056704452445,0,1,ATTACK
normal,0,0.0,0,0.16649435986657174,0,0,NORMAL
normal,0,0.0,0,0.18090488525537413,0,0,NORMAL
smurf,1,0.865,1,-0.00898959361261642,0,1,ATTACK
normal,0,0.19,0,0.023491447800694676,0,0,NORMAL
apache2,1,0.555,1,0.006550892688425958,0,1,ATTACK
normal,0,0.0,0,0.1189057257840278,0,0,NORMAL
normal,0,0.0,0,0.15854261935256148,0,0,NORMAL
normal,0,0.975,1,-0.014470993650986363,0,1,ATTACK
