attack_type,group,total,rf_detected,rf_missed,rf_recall,if_detected,if_missed,if_recall
apache2,test_only,737,524,213,0.7109905020352781,0,737,0.0
back,shared,359,359,0,1.0,0,359,0.0
buffer_overflow,shared,20,3,17,0.15,0,20,0.0
ftp_write,shared,3,1,2,0.3333333333333333,0,3,0.0
guess_passwd,shared,1231,0,1231,0.0,0,1231,0.0
httptunnel,test_only,133,17,116,0.12781954887218044,0,133,0.0
imap,shared,1,0,1,0.0,0,1,0.0
ipsweep,shared,141,141,0,1.0,0,141,0.0
land,shared,7,7,0,1.0,3,4,0.42857142857142855
loadmodule,shared,2,0,2,0.0,0,2,0.0
mailbomb,test_only,293,0,293,0.0,0,293,0.0
mscan,test_only,996,619,377,0.6214859437751004,114,882,0.1144578313253012
multihop,shared,18,2,16,0.1111111111111111,0,18,0.0
named,test_only,17,3,14,0.17647058823529413,0,17,0.0
neptune,shared,4657,4656,1,0.999785269486794,978,3679,0.2100064419153962
nmap,shared,73,73,0,1.0,1,72,0.0136986301369863
normal,test_only,9711,273,9438,0.028112449799196786,12,9699,0.001235712079085573
perl,shared,2,1,1,0.5,0,2,0.0
phf,shared,2,1,1,0.5,0,2,0.0
pod,shared,41,39,2,0.9512195121951219,0,41,0.0
portsweep,shared,157,157,0,1.0,36,121,0.22929936305732485
processtable,test_only,685,28,657,0.040875912408759124,1,684,0.00145985401459854
ps,test_only,15,2,13,0.13333333333333333,0,15,0.0
rootkit,shared,13,0,13,0.0,0,13,0.0
saint,test_only,319,315,4,0.987460815047022,191,128,0.5987460815047022
satan,shared,735,735,0,1.0,422,313,0.5741496598639456
sendmail,test_only,14,0,14,0.0,0,14,0.0
smurf,shared,665,665,0,1.0,0,665,0.0
snmpgetattack,test_only,178,0,178,0.0,0,178,0.0
snmpguess,test_only,331,0,331,0.0,0,331,0.0
sqlattack,test_only,2,1,1,0.5,0,2,0.0
teardrop,shared,12,12,0,1.0,0,12,0.0
udpstorm,test_only,2,2,0,1.0,0,2,0.0
warezmaster,shared,944,265,679,0.2807203389830508,1,943,0.001059322033898305
worm,test_only,2,0,2,0.0,0,2,0.0
xlock,test_only,9,0,9,0.0,0,9,0.0
xsnoop,test_only,4,1,3,0.25,0,4,0.0
xterm,test_only,13,3,10,0.23076923076923078,0,13,0.0
