attack_type,total,detected,missed,recall
back,359,359,0,1.0
buffer_overflow,20,3,17,0.15
ftp_write,3,1,2,0.3333333333333333
guess_passwd,1231,0,1231,0.0
imap,1,0,1,0.0
ipsweep,141,141,0,1.0
land,7,7,0,1.0
loadmodule,2,0,2,0.0
multihop,18,2,16,0.1111111111111111
neptune,4657,4656,1,0.999785269486794
nmap,73,73,0,1.0
perl,2,1,1,0.5
phf,2,1,1,0.5
pod,41,39,2,0.9512195121951219
portsweep,157,157,0,1.0
rootkit,13,0,13,0.0
satan,735,735,0,1.0
smurf,665,665,0,1.0
teardrop,12,12,0,1.0
warezmaster,944,265,679,0.2807203389830508
