attack_type,total,detected,missed,recall
apache2,737,524,213,0.7109905020352781
httptunnel,133,17,116,0.12781954887218044
mailbomb,293,0,293,0.0
mscan,996,619,377,0.6214859437751004
named,17,3,14,0.17647058823529413
processtable,685,28,657,0.040875912408759124
ps,15,2,13,0.13333333333333333
saint,319,315,4,0.987460815047022
sendmail,14,0,14,0.0
snmpgetattack,178,0,178,0.0
snmpguess,331,0,331,0.0
sqlattack,2,1,1,0.5
udpstorm,2,2,0,1.0
worm,2,0,2,0.0
xlock,9,0,9,0.0
xsnoop,4,1,3,0.25
xterm,13,3,10,0.23076923076923078
